valleyId,segmentId,field,value,sourceUrl,checkedAt,note,confidence
myeongji,myeongji-whole,swimBanned,false,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 90 '도마천' 일반지역·하천 (경기도 가평군 북면 적목리 643) 중심선에서 10 m [거리]; 위험지역 OBJT_ID 1100 625 m,high
myeongji,myeongji-whole,freeAccess,true,https://www.gptour.go.kr/tour/tour_view.jsp?menu=tour&submenu=etc&paramidx=TL0000084,2026-09-07,입장료 : 없음,medium
myeongji,myeongji-whole,campingAllowed,,,,,
myeongji,myeongji-whole,petAllowed,,,,,
myeongji,myeongji-whole,riskNote,물놀이관리지역(일반) 도마천 — 최대 수심 3 m·평균 1 m. 인근 적목리 용소폭포는 위험지역(수심 10 m),https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 90 '도마천' 일반지역·하천 (경기도 가평군 북면 적목리 643) 중심선에서 10 m [거리]; 위험지역 OBJT_ID 1100 625 m; MANAGEMENT·WATER_DEEP·WATER_AVG 그대로,high
yongchu-gapyeong,yongchu-gapyeong-whole,depth,adult,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 1099 '용추계곡' 위험지역·하천 (경기도 가평군 가평읍 승안리 산 225) 중심선에서 10 m [거리]; 평균 3 m·최대 5 m 환산(≤0.5 knee·≤1 waist·>1 adult·최대≥2×평균 mixed),high
yongchu-gapyeong,yongchu-gapyeong-whole,bed,,,,비공식 출처라 제거(brunch.co.kr; 이전 값 mixed),
yongchu-gapyeong,yongchu-gapyeong-whole,accessDifficulty,,,,,
yongchu-gapyeong,yongchu-gapyeong-whole,swimBanned,true,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 1099 '용추계곡' 위험지역·하천 (경기도 가평군 가평읍 승안리 산 225) 중심선에서 10 m [거리],high
yongchu-gapyeong,yongchu-gapyeong-whole,freeAccess,true,https://www.gptour.go.kr/tour/tour_view.jsp?menu=tour&submenu=&paramidx=TL0000152,2026-09-06,"가평군 문화관광 연인산도립공원 ""입장료: 없음""; brunch ""입장과 주차는 무료다"", 취사 금지·도시락 반입 가능",medium
yongchu-gapyeong,yongchu-gapyeong-whole,campingAllowed,,,,비공식 출처라 제거(www.kgdm.co.kr; 이전 값 false),
yongchu-gapyeong,yongchu-gapyeong-whole,petAllowed,,,,,
yongchu-gapyeong,yongchu-gapyeong-whole,riskNote,"물놀이관리지역(위험) 용추계곡 — 최대 수심 5 m·평균 3 m, 입수 금지",https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 1099 '용추계곡' 위험지역·하천 (경기도 가평군 가평읍 승안리 산 225) 중심선에서 10 m [거리]; MANAGEMENT·WATER_DEEP·WATER_AVG 그대로,high
jomurak,jomurak-whole,depth,mixed,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 90 '도마천' 일반지역·하천 (경기도 가평군 북면 적목리 643) 중심선에서 1084 m [거리]; 위험지역 OBJT_ID 1100 1637 m; 평균 1 m·최대 3 m 환산(≤0.5 knee·≤1 waist·>1 adult·최대≥2×평균 mixed),high
jomurak,jomurak-whole,bed,,,,,
jomurak,jomurak-whole,accessDifficulty,,,,,
jomurak,jomurak-whole,swimBanned,false,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 90 '도마천' 일반지역·하천 (경기도 가평군 북면 적목리 643) 중심선에서 1084 m [거리]; 위험지역 OBJT_ID 1100 1637 m,high
jomurak,jomurak-whole,freeAccess,true,https://www.gptour.go.kr/tour/tour_view.jsp?menu=tour&paramidx=TL0000081,2026-09-07,입장료 : 없음,medium
jomurak,jomurak-whole,campingAllowed,,,,,
jomurak,jomurak-whole,petAllowed,,,,,
jomurak,jomurak-whole,riskNote,물놀이관리지역(일반) 도마천 — 최대 수심 3 m·평균 1 m. 인근 적목리 용소폭포는 위험지역(수심 10 m),https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 90 '도마천' 일반지역·하천 (경기도 가평군 북면 적목리 643) 중심선에서 1084 m [거리]; 위험지역 OBJT_ID 1100 1637 m; MANAGEMENT·WATER_DEEP·WATER_AVG 그대로,high
yumyeongsan,yumyeongsan-whole,depth,waist,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 68 '벽계천' 일반지역·하천 (경기도 가평군 설악면 가일리 350) 중심선에서 1327 m [거리]; 평균 1 m·최대 1 m 환산(≤0.5 knee·≤1 waist·>1 adult·최대≥2×평균 mixed),high
yumyeongsan,yumyeongsan-whole,bed,,,,,
yumyeongsan,yumyeongsan-whole,accessDifficulty,,,,,
yumyeongsan,yumyeongsan-whole,swimBanned,false,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 68 '벽계천' 일반지역·하천 (경기도 가평군 설악면 가일리 350) 중심선에서 1327 m [거리],high
yumyeongsan,yumyeongsan-whole,freeAccess,false,https://www.foresttrip.go.kr/pot/rm/ug/selectFcltUseGdncView.do?hmpgId=0101&menuId=004002008&ruleId=208,2026-09-06,"산림청 휴양림 준수사항 ""납입한 입장료 및 시설사용료"" 유료(어른 1,000원·주차 3,000원, telltrip yumyeongsan guide 2026)",medium
yumyeongsan,yumyeongsan-whole,campingAllowed,true,https://www.foresttrip.go.kr/pot/rm/fa/selectCmpgrArmpListView.do?hmpgId=0101&menuId=002002002,2026-09-06,"산림청 국립유명산자연휴양림 야영장 야영데크 101~222·캠핑카야영장 301~310 운영(예약제), 취사는 지정 장소에서만",medium
yumyeongsan,yumyeongsan-whole,petAllowed,false,https://www.foresttrip.go.kr/pot/rm/ug/selectFcltUseGdncView.do?hmpgId=0101&menuId=004002008&ruleId=208,2026-09-06,"산림청 국립유명산자연휴양림 이용객준수사항 ""애완동물 및 혐오동물 등을 동반하고 입장할 수 없으며"" (장애인 보조견 제외)",medium
yumyeongsan,yumyeongsan-whole,riskNote,물놀이관리지역(일반) 벽계천 — 최대 수심 1 m·평균 1 m,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 68 '벽계천' 일반지역·하천 (경기도 가평군 설악면 가일리 350) 중심선에서 1327 m [거리]; MANAGEMENT·WATER_DEEP·WATER_AVG 그대로,high
eobi,eobi-whole,depth,waist,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 68 '벽계천' 일반지역·하천 (경기도 가평군 설악면 가일리 350) 중심선에서 25 m [거리]; 평균 1 m·최대 1 m 환산(≤0.5 knee·≤1 waist·>1 adult·최대≥2×평균 mixed),high
eobi,eobi-whole,bed,mixed,https://www.gptour.go.kr/tour/tour_view.jsp?menu=tour&paramidx=TL0000076&submenu=mnt,2026-09-06,"가평군 ""잔돌이 잔잔히 깔려"" ""크고 작은 바위"" + 구석구석 ""너른 바위를 따라"" (korean.visitkorea.or.kr cotid=64bc182a)",medium
eobi,eobi-whole,accessDifficulty,,,,,
eobi,eobi-whole,swimBanned,false,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 68 '벽계천' 일반지역·하천 (경기도 가평군 설악면 가일리 350) 중심선에서 25 m [거리],high
eobi,eobi-whole,freeAccess,true,https://www.gptour.go.kr/tour/tour_view.jsp?menu=tour&paramidx=TL0000076&submenu=mnt,2026-09-06,"가평군 ""입장료 : 없음""; 경기도 2023 어비계곡 ""이동식 평상 등 불법시설"" 집중단속 대상(ecojournal.co.kr idx=143689)",medium
eobi,eobi-whole,campingAllowed,,,,,
eobi,eobi-whole,petAllowed,,,,,
eobi,eobi-whole,riskNote,물놀이관리지역(일반) 벽계천 — 최대 수심 1 m·평균 1 m,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 68 '벽계천' 일반지역·하천 (경기도 가평군 설악면 가일리 350) 중심선에서 25 m [거리]; MANAGEMENT·WATER_DEEP·WATER_AVG 그대로,high
baekdunri,baekdunri-whole,depth,mixed,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 84 '가평천' 일반지역·계곡 (경기도 가평군 북면 백둔리 1115) 중심선에서 62 m [거리]; 평균 1 m·최대 2 m 환산(≤0.5 knee·≤1 waist·>1 adult·최대≥2×평균 mixed),high
baekdunri,baekdunri-whole,bed,,,,,
baekdunri,baekdunri-whole,accessDifficulty,,,,,
baekdunri,baekdunri-whole,swimBanned,false,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 84 '가평천' 일반지역·계곡 (경기도 가평군 북면 백둔리 1115) 중심선에서 62 m [거리],high
baekdunri,baekdunri-whole,freeAccess,,,,비공식 출처라 제거(www.welfarehello.com; 이전 값 true),
baekdunri,baekdunri-whole,campingAllowed,true,https://www.gptour.go.kr/tour/tour_view.jsp?menu=tour&submenu=null&paramidx=TL0000061,2026-09-06,"가평군 문화관광 ""연인산 다목적캠핑장 소재지 : 북면 백둔로 441"" (가평군시설관리공단 운영, gpfmc.or.kr); 계곡 바로 옆 공공 캠핑장",medium
baekdunri,baekdunri-whole,petAllowed,,,,비공식 출처라 제거(www.welfarehello.com; 이전 값 true),
baekdunri,baekdunri-whole,riskNote,물놀이관리지역(일반) 가평천 — 최대 수심 2 m·평균 1 m,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 84 '가평천' 일반지역·계곡 (경기도 가평군 북면 백둔리 1115) 중심선에서 62 m [거리]; MANAGEMENT·WATER_DEEP·WATER_AVG 그대로,high
gyeongban,gyeongban-whole,depth,mixed,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 65 '경반천' 일반지역·하천 (경기도 가평군 가평읍 경반리 516) 중심선에서 523 m [거리]; 평균 1 m·최대 3 m 환산(≤0.5 knee·≤1 waist·>1 adult·최대≥2×평균 mixed),high
gyeongban,gyeongban-whole,bed,,,,비공식 출처라 제거(www.ytn.co.kr; 이전 값 rock),
gyeongban,gyeongban-whole,accessDifficulty,,,,,
gyeongban,gyeongban-whole,swimBanned,false,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 65 '경반천' 일반지역·하천 (경기도 가평군 가평읍 경반리 516) 중심선에서 523 m [거리],high
gyeongban,gyeongban-whole,freeAccess,true,https://www.gptour.go.kr/tour/tour_view.jsp?menu=tour&submenu=etc&paramidx=TL0000143,2026-09-06,"가평군 문화관광 칼봉산자연휴양림(경반계곡 들머리) ""입장료 : 없음"" ""주차시설 : 없음""",medium
gyeongban,gyeongban-whole,campingAllowed,true,https://www.gptour.go.kr/tour/tour_view.jsp?menu=tour&submenu=etc&paramidx=TL0000143,2026-09-06,"가평군 칼봉산자연휴양림 ""야영장, 숲속의 집, 다목적 운동장 등 부대시설""; 상류 경반분교 ""야영장으로 활용""(YTN 2020)",medium
gyeongban,gyeongban-whole,petAllowed,,,,,
gyeongban,gyeongban-whole,riskNote,물놀이관리지역(일반) 경반천 — 최대 수심 3 m·평균 1 m,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 65 '경반천' 일반지역·하천 (경기도 가평군 가평읍 경반리 516) 중심선에서 523 m [거리]; MANAGEMENT·WATER_DEEP·WATER_AVG 그대로,high
nonnamgi,nonnamgi-whole,depth,,,,비공식 출처라 제거(m.cafe.daum.net; 이전 값 knee),
nonnamgi,nonnamgi-whole,bed,,,,,
nonnamgi,nonnamgi-whole,accessDifficulty,,,,,
nonnamgi,nonnamgi-whole,swimBanned,false,https://www.foresttrip.go.kr/pot/rm/ri/selectRcrfrIntrdDtlView.do?hmpgId=ID02030019&menuId=002001,2026-09-06,"경기도 강씨봉자연휴양림(도유림) 안내 ""간이 물놀이시설"" 운영; 월간산 ""휴양림 물놀이장으로 사용되는 계곡"" — 물놀이 허용 구간",medium
nonnamgi,nonnamgi-whole,freeAccess,false,https://www.foresttrip.go.kr/pot/rm/ug/selectFcltUseGdncView.do?hmpgId=ID02030019&menuId=004002005&ruleId=205,2026-09-06,"강씨봉자연휴양림 이용요금 ""입장료 어른 1,000 / 청소년·군인 600 / 어린이 300"" 주차 소·중형 3,000 (휴양림 물놀이장 구간 기준)",medium
nonnamgi,nonnamgi-whole,campingAllowed,true,https://www.foresttrip.go.kr/pot/rm/fa/selectCmpgrArmpDtlView.do?insttId=0101&goodsId=G01010200202002003900356,2026-09-07,"야영데크(116) 입실:14시~22시, 퇴실:다음날 오전 11시까지, 텐트1개+텐트와 연결되는 타프1개만 허용",medium
nonnamgi,nonnamgi-whole,petAllowed,false,https://www.foresttrip.go.kr/pot/rm/ug/selectFcltUseGdncView.do?hmpgId=ID02030019&menuId=004002008&ruleId=208,2026-09-06,"강씨봉자연휴양림 이용객준수사항 ""애완동물 및 혐오동물 등을 동반하고 입장할 수 없으며"" (보조견 제외)",medium
nonnamgi,nonnamgi-whole,riskNote,,,,,
hyeondeungsa,hyeondeungsa-whole,depth,waist,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 78 '조종천' 일반지역·하천 (경기도 가평군 조종면 신상리 257) 중심선에서 1099 m [거리]; 평균 1 m·최대 1.5 m 환산(≤0.5 knee·≤1 waist·>1 adult·최대≥2×평균 mixed),high
hyeondeungsa,hyeondeungsa-whole,bed,,,,비공식 출처라 제거(www.welfarehello.com; 이전 값 rock),
hyeondeungsa,hyeondeungsa-whole,accessDifficulty,,,,,
hyeondeungsa,hyeondeungsa-whole,swimBanned,false,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 78 '조종천' 일반지역·하천 (경기도 가평군 조종면 신상리 257) 중심선에서 1099 m [거리],high
hyeondeungsa,hyeondeungsa-whole,freeAccess,true,https://www.gptour.go.kr/tour/tour_view.jsp?menu=tour&submenu=&paramidx=TL0000053,2026-09-06,"가평군 문화관광 운악산 ""입장료 : 없음"" (현등사 문화재관람료는 2023.5 폐지); 입수 금지 구역이라 평상·자릿세 해당 없음",medium
hyeondeungsa,hyeondeungsa-whole,campingAllowed,,,,,
hyeondeungsa,hyeondeungsa-whole,petAllowed,,,,비공식 출처라 제거(www.welfarehello.com; 이전 값 false),
hyeondeungsa,hyeondeungsa-whole,riskNote,물놀이관리지역(일반) 조종천 — 최대 수심 1.5 m·평균 1 m,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 78 '조종천' 일반지역·하천 (경기도 가평군 조종면 신상리 257) 중심선에서 1099 m [거리]; MANAGEMENT·WATER_DEEP·WATER_AVG 그대로,high
domachi,domachi-whole,depth,adult,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 1100 '적목리 용소폭포' 위험지역·하천 (경기도 가평군 북면 적목리 산 198) 중심선에서 834 m [거리]; 평균 3 m·최대 10 m 환산(≤0.5 knee·≤1 waist·>1 adult·최대≥2×평균 mixed),high
domachi,domachi-whole,bed,,,,,
domachi,domachi-whole,accessDifficulty,,,,,
domachi,domachi-whole,swimBanned,true,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 1100 '적목리 용소폭포' 위험지역·하천 (경기도 가평군 북면 적목리 산 198) 중심선에서 834 m [거리],high
domachi,domachi-whole,freeAccess,true,https://www.gptour.go.kr/tour/tour_view.jsp?menu=tour&paramidx=TL0000055,2026-09-06,"가평군 문화관광 도마치계곡(적목용소) ""입장료 : 없음"" ""주차시설 : 없음""",medium
domachi,domachi-whole,campingAllowed,,,,,
domachi,domachi-whole,petAllowed,,,,,
domachi,domachi-whole,riskNote,"물놀이관리지역(위험) 적목리 용소폭포 — 최대 수심 10 m·평균 3 m, 입수 금지",https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 1100 '적목리 용소폭포' 위험지역·하천 (경기도 가평군 북면 적목리 산 198) 중심선에서 834 m [거리]; MANAGEMENT·WATER_DEEP·WATER_AVG 그대로,high
sudong,sudong-whole,depth,,,,비공식 출처라 제거(www.welfarehello.com; 이전 값 adult),
sudong,sudong-whole,bed,,,,,
sudong,sudong-whole,accessDifficulty,,,,,
sudong,sudong-whole,swimBanned,,,,비공식 출처라 제거(m.newstown.co.kr; 이전 값 false),
sudong,sudong-whole,freeAccess,,,,비공식 출처라 제거(www.mhns.co.kr; 이전 값 true),
sudong,sudong-whole,campingAllowed,true,https://www.nyj.go.kr/culture/viewTnResrceU.do?resrceNo=362&rcpp=6&si1=2&si2=2&key=253,2026-09-06,"남양주시 문화관광 수동계곡 ""수동가족쉼터에서 캠핑을 할 수 있습니다"" ""입장료 : 캠핑시 별도 이용료""; 시 블로그는 쉼터 공사 중 이용불가 안내(시점 확인 필요)",medium
sudong,sudong-whole,petAllowed,,,,,
sudong,sudong-whole,riskNote,,,,비공식 출처라 제거(m.newstown.co.kr; 이전 값 물골안유원지(입석리)는 다른 관리지역보다 수심이 깊어 위험구역 안전부표 설치·안전관리요원 배치),
chungnyeongsan,chungnyeongsan-whole,depth,,,,비공식 출처라 제거(관광공사·해설사 사이트 www.gocamping.or.kr; 이전 값 knee) — 지자체 go.kr·공단 or.kr 만 인정,
chungnyeongsan,chungnyeongsan-whole,bed,,,,,
chungnyeongsan,chungnyeongsan-whole,accessDifficulty,,,,,
chungnyeongsan,chungnyeongsan-whole,swimBanned,false,https://www.foresttrip.go.kr/pot/rm/ug/selectFcltUseGdncView.do?hmpgId=ID02030050&menuId=004002008&ruleId=208,2026-09-06,"휴양림이 계곡 물놀이장 운영: 운영기간 7.15~8.24(기상 따라 변동), 10:00~17:00 — 지정 물놀이장 내 입수 허용",medium
chungnyeongsan,chungnyeongsan-whole,freeAccess,false,https://www.foresttrip.go.kr/pot/rm/ug/selectFcltUseGdncView.do?hmpgId=ID02030050&menuId=004002005&ruleId=205,2026-09-06,"산림청 숲나들e 이용요금: 입장료 성인 1,000원·청소년 600원·어린이 300원, 주차료 별도 (유료 휴양림)",medium
chungnyeongsan,chungnyeongsan-whole,campingAllowed,true,https://www.foresttrip.go.kr/pot/rm/ug/selectFcltUseGdncView.do?hmpgId=ID02030050&menuId=004002005&ruleId=205,2026-09-06,"숲나들e: 야영장 데크(4m×4m) 1일 6,000원, 일반야영장 30면 운영 (11.1~3.31 폐쇄)",medium
chungnyeongsan,chungnyeongsan-whole,petAllowed,false,https://www.foresttrip.go.kr/pot/rm/ug/selectFcltUseGdncView.do?hmpgId=ID02030050&menuId=004002008&ruleId=208,2026-09-06,"이용객준수사항: ""애완동물(애완견) 및 혐오동물 등을 동반하고 입장할 수 없으며, 위반 시 강제 퇴장조치"" (장애인 보조견 제외)",medium
chungnyeongsan,chungnyeongsan-whole,riskNote,휴양림 물놀이장 운영 7.15~8.24 10~17시(기상 따라 변동) — 운영 시간 외·구역 외 입수 불가,https://www.foresttrip.go.kr/pot/rm/ug/selectFcltUseGdncView.do?hmpgId=ID02030050&menuId=004002008&ruleId=208,2026-09-06,산림청 숲나들e 축령산자연휴양림 안내: 물놀이장 운영기간·시간(기상상황에 따라 변경) — 관광공사 고캠핑 문구는 제거,medium
jangheung,jangheung-whole,depth,,,,,
jangheung,jangheung-whole,bed,,,,,
jangheung,jangheung-whole,accessDifficulty,,,,,
jangheung,jangheung-whole,swimBanned,,,,,
jangheung,jangheung-whole,freeAccess,true,https://gnews.gg.go.kr/news/news_detail.do?number=202207211135582319C094&s_code=,2026-09-06,"경기도뉴스포털: 청정계곡 사업으로 불법시설 철거, ""누구나 자유롭게 이용"" 무료 개방, 모두의 화장실·주차장 제공 (평상 2031개 철거)",high
jangheung,jangheung-whole,campingAllowed,false,https://gnews.gg.go.kr/news/news_detail.do?number=202207211135582319C094&s_code=,2026-09-06,"경기도뉴스포털: 장흥계곡 이용수칙 ""텐트와 취사는 금지"" — 모두가 즐기기 위한 약속",high
jangheung,jangheung-whole,petAllowed,,,,,
jangheung,jangheung-whole,riskNote,,,,비공식 출처라 제거(www.mt.co.kr; 이전 값 양주시: 계곡 내 불법 수중펌프·전기시설 철거(2026.8) — 불법 시설물은 이용객 안전에 영향·주말 순찰 강화),
songchu,songchu-whole,depth,,,,비공식 출처라 제거(33.personalemblem.com; 이전 값 knee),
songchu,songchu-whole,bed,,,,,
songchu,songchu-whole,accessDifficulty,,,,,
songchu,songchu-whole,swimBanned,,,,비공식 출처라 제거(dongbukilbo.com; 이전 값 true),
songchu,songchu-whole,freeAccess,,,,,
songchu,songchu-whole,campingAllowed,,,,비공식 출처라 제거(v.daum.net; 이전 값 false),
songchu,songchu-whole,petAllowed,,,,,
songchu,songchu-whole,riskNote,,,,비공식 출처라 제거(dongbukilbo.com; 이전 값 북한산사무소: 송추계곡 일부 구간만 8.31까지 한시 개방·수영·다이빙 금지·집중호우 시 즉시 통제·CCTV 드론 감시),
angol,angol-whole,depth,,,,비공식 출처라 제거(www.welfarehello.com; 이전 값 knee),
angol,angol-whole,bed,,,,,
angol,angol-whole,accessDifficulty,,,,,
angol,angol-whole,swimBanned,,,,비공식 출처라 제거(v.daum.net; 이전 값 true),
angol,angol-whole,freeAccess,,,,비공식 출처라 제거(www.welfarehello.com; 이전 값 true),
angol,angol-whole,campingAllowed,,,,비공식 출처라 제거(www.welfarehello.com; 이전 값 false),
angol,angol-whole,petAllowed,,,,비공식 출처라 제거(www.tripinfo.co.kr; 이전 값 false),
angol,angol-whole,riskNote,,,,비공식 출처라 제거(v.daum.net; 이전 값 북한산국립공원 구역 — 계곡 입수 원칙 금지(한시 개방 구간 외)·야영·취사 금지),
soyosan,soyosan-whole,depth,,,,,
soyosan,soyosan-whole,bed,,,,,
soyosan,soyosan-whole,accessDifficulty,,,,,
soyosan,soyosan-whole,swimBanned,,,,,
soyosan,soyosan-whole,freeAccess,,,,비공식 출처라 제거(v.daum.net; 이전 값 false),
soyosan,soyosan-whole,campingAllowed,,,,,
soyosan,soyosan-whole,petAllowed,,,,,
soyosan,soyosan-whole,riskNote,,,,,
dongmak,dongmak-whole,depth,mixed,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 94 '동막리유원지' 일반지역·계곡 (경기도 연천군 연천읍 동막리 181-2) 중심선에서 64 m [거리]; 평균 1 m·최대 2 m 환산(≤0.5 knee·≤1 waist·>1 adult·최대≥2×평균 mixed),high
dongmak,dongmak-whole,bed,,,,,
dongmak,dongmak-whole,accessDifficulty,,,,,
